BeachCode,BeachName,Country,BeachInfoAmmendment,FillingDate,FillingName,FillingPhone,FillingMail,FillingInstitute,UrbanizationDegree,ReferenceBeach,BeachWidthLow,BeachWidthHigh,BeachLength,BeachLatitude,BeachLongitude,CoordinateSystem,BeachBack,BeachBackOther,BeachBackDevelopment,DevelopmentDescription,PositionMeasurementDate,CurrentsDirection,WindsDirection,BeachOrientation,BeachMaterial,BeachTopography,Obstacles,Usage1,Usage1Seasonality,Usage2,Usage2Seasonality,Usage3,Usage3Seasonality,BeachAccess,BeachCleaningSeasonality,SeasonalityMonths,CleaningFrequency,OtherDescription,CleaningMethod,CleaningResponsible,Notes
BE001,Oostende,BE,,,,,,,,no,300,,,51.241553,2.937111,4326,Dunes,,no,But this will change in future...,,E;N,S;W,NW,Sand,,harbour waill (since 2011),Board sports,no,Building sand castles,no,,,,yes,6;7;8;9,Weekly,,Manual,Oostende,More and more under the influence of harbour extension and construction activities and sand suppletions
BE002,Koksijde: St.- André,BE,,,,,,,,no,700,,,,,4326,,,,,,E;N,S;W,NW,Sand,"Gently sloping, exposed",,,,,,,,,yes,,Other,"daily in the summer, weekly in the spring, autumn and winter",,,"Cleaning details: Daily in the summer, weekly in the spring, autumn, and winter."
BE003,Raversijde,BE,,,,,,,,no,200,350,,51.204569,2.851456,4326,Dunes,,yes,partly appartements and coastal road,,E;N,S;W,NW,Sand,,groynes,Coastal walking,yes,Building sand castles,no,,yes,Pedestrian,yes,4;5;6;7;8;9;10,Daily,,Mechanical,Oostende,
BG0001,Durankulak,BG,,2016-03-10,,,,,,no,,,,43.696389,28.566389,4326,,,,,,,,,,,,,,,,,,,,,,,,,
BG0002,Krapets – North,BG,,2016-03-10,,,,,,no,,,,43.660278,28.568889,4326,,,,,,,,,,,,,,,,,,,,,,,,,
BG0003,Asparuhovo,BG,,2016-03-11,,,,,,no,,,,43.185556,27.889722,4326,,,,,,,,,,,,,,,,,,,,,,,,,"coastline along ""Asparuhovo"" quarter  (new canal connecting the Black sea with Varna lake)"
BG0004,Shkorpilovtsi,BG,,2016-03-11,,,,,,no,,,,42.960278,27.8975,4326,,,,,,,,,,,,,,,,,,,,,,,,,
BG0005,Children camp Obzor,BG,,2016-03-12,,,,,,no,,,,42.800278,27.89,4326,,,,,,,,,,,,,,,,,,,,,,,,,
BG0006,Irakli,BG,,2016-03-12,,,,,,no,,,,42.749444,27.889167,4326,,,,,,,,,,,,,,,,,,,,,,,,,
BG0007,Salt Pans JSC,BG,,2016-03-13,,,,,,no,,,,42.511667,27.484722,4326,,,,,,,,,,,,,,,,,,,,,,,,,
BG0008,Alepu beach,BG,,2016-03-13,,,,,,no,,,,42.368611,27.709167,4326,,,,,,,,,,,,,,,,,,,,,,,,,
DE0001,BINZ_SO_01,DE,,2016-12-16,,,,,,no,,,,54.399952,13.63524,4326,,,,,,,,,,,,,,,,,,,,,,,,,
DE0002,BOIENSDFW_ZP_01,DE,,2014-11-03,,,,,,no,,,,54.032285,11.520908,4326,,,,,,,,,,,,,,,,,,,,,,,,,
DE0003,BUG_SW_01,DE,,2017-02-19,,,,,,no,,,,54.566608,13.161356,4326,,,,,,,,,,,,,,,,,,,,,,,,,
DE0004,DARSS_MÜL_01,DE,,2017-01-20,,,,,,no,,,,54.428262,12.472595,4326,,,,,,,,,,,,,,,,,,,,,,,,,
DE0005,GLOWE_KH_01,DE,,2017-01-25,,,,,,no,,,,54.573187,13.481374,4326,,,,,,,,,,,,,,,,,,,,,,,,,
DE0006,GÖHREN_NP_01,DE,,2016-12-20,,,,,,no,,,,54.34132,13.762585,4326,,,,,,,,,,,,,,,,,,,,,,,,,
DE0007,GWOIE_HF_01,DE,,2014-07-18,,,,,,no,,,,54.244423,13.910191,4326,,,,,,,,,,,,,,,,,,,,,,,,,
DE0008,HIDDENS_GEL_01,DE,,2016-09-15,,,,,,no,,,,54.47882,13.060425,4326,,,,,,,,,,,,,,,,,,,,,,,,,
DE0009,HIDDENS_NBE_01,DE,,2015-02-02,,,,,,no,,,,54.589734,13.154216,4326,,,,,,,,,,,,,,,,,,,,,,,,,
DE001,Sylt (island),DE,,,,,,,,no,50,40,36000,54.790744,8.282683,4326,Dunes,,yes,road parallel to beach and ca. 350m behind the beach,1970-01-01,N;W,W,W,Sand,"Gently sloping, exposed",no,Swimming,yes,Sunbathing,yes,,,Pedestrian,yes,,Other,Daily/weekly,Manual,,"Cleaning details: Yes. Daily/Weekly. In the spring, summer, autumn and winter swimming & sunbathing low level in northern part of site in summer Traffic Separation Scheme German Bight (VTG) 80km to south Size of harbour (number of ships): (365X100m) ca.6100 ship movements a year beach rarely cleaned"
DE0010,KÄGSDF_RS_01,DE,,2017-01-19,,,,,,no,,,,54.145052,11.66781,4326,,,,,,,,,,,,,,,,,,,,,,,,,
DE0011,KLZICKER_OL_01,DE,,2016-12-15,,,,,,no,,,,54.280521,13.694903,4326,,,,,,,,,,,,,,,,,,,,,,,,,
DE0012,LUBMIN_FRS_01,DE,,2017-01-13,,,,,,no,,,,54.157852,13.665762,4326,,,,,,,,,,,,,,,,,,,,,,,,,
DE0013,MUKRAN_FH_01,DE,,2017-01-24,,,,,,no,,,,54.488315,13.59767,4326,,,,,,,,,,,,,,,,,,,,,,,,,
DE0014,NOBBIN_HG_01,DE,,2017-01-25,,,,,,no,,,,54.652478,13.394186,4326,,,,,,,,,,,,,,,,,,,,,,,,,
DE0015,POEL_GOL_01,DE,,2017-01-10,,,,,,no,,,,54.024296,11.468424,4326,,,,,,,,,,,,,,,,,,,,,,,,,
DE0016,ROSENHGN_HBÄ_01,DE,,2017-01-10,,,,,,no,,,,53.969364,10.943034,4326,,,,,,,,,,,,,,,,,,,,,,,,,
DE0017,SELLIN_GR_01,DE,,2017-01-24,,,,,,no,,,,54.391954,13.684006,4326,,,,,,,,,,,,,,,,,,,,,,,,,
DE0018,STEINBECK_KLH_01,DE,,2017-01-10,,,,,,no,,,,54.010092,11.136577,4326,,,,,,,,,,,,,,,,,,,,,,,,,
DE0019,STUBBEN_KNG_01,DE,,2016-04-29,,,,,,no,,,,54.573148,13.663215,4326,,,,,,,,,,,,,,,,,,,,,,,,,
DE002,Scharhörn (island),DE,,,,,,,,no,1000,100,2800,53.963333,8.439722,4326,Dunes,,no,,1970-01-01,N;W,W,NW,Sand,gently sloping 10% exposed,no,,,,,,,,,,,,,,Scharhörn is a more or less circular island in the mouth of the river Elbe. It is part of the National Park Hamburg Wattenmeer and is uninhabited. Cleaning details: Not cleaned Tourist population of Cuxhaven not known Size of harbour Cuxhaven 2005: 1.88 M!io. t cargo turnover (Port of Hamburg 11.899 vessels in 2008. 7.155 thereof were containerships)
DE0020,TARNEWZ_HUK_01,DE,,2014-10-17,,,,,,no,,,,53.978428,11.256496,4326,,,,,,,,,,,,,,,,,,,,,,,,,
DE0021,USEDOM_PE_01,DE,,2017-01-13,,,,,,no,,,,54.154718,13.818341,4326,,,,,,,,,,,,,,,,,,,,,,,,,
DE0022,VARNKEVZ_HL_01,DE,,2016-12-15,,,,,,no,,,,54.682207,13.371668,4326,,,,,,,,,,,,,,,,,,,,,,,,,
DE0023,VILM_WS_01,DE,,2016-12-16,,,,,,no,,,,54.319781,13.529992,4326,,,,,,,,,,,,,,,,,,,,,,,,,
DE0024,WIESCHENDF_HUK_02,DE,,2017-01-10,,,,,,no,,,,53.958746,11.332089,4326,,,,,,,,,,,,,,,,,,,,,,,,,
DE0025,ZINGST_KIR_01,DE,,2017-01-20,,,,,,no,,,,54.440034,12.79441,4326,,,,,,,,,,,,,,,,,,,,,,,,,
DE0026,ZINGST_WAS_01,DE,,2017-01-20,,,,,,no,,,,54.439793,12.817217,4326,,,,,,,,,,,,,,,,,,,,,,,,,
